county,name,year,population
05,Östergötlands län,2004,415990.0
05,Östergötlands län,2005,416303.0
05,Östergötlands län,2006,417966.0
05,Östergötlands län,2007,420809.0
05,Östergötlands län,2008,423169.0
05,Östergötlands län,2009,427106.0
05,Östergötlands län,2010,429642.0
05,Östergötlands län,2011,431075.0
05,Östergötlands län,2012,433784.0
05,Östergötlands län,2013,437848.0
05,Östergötlands län,2014,442105.0
05,Östergötlands län,2015,445661.0
06,Jönköpings län,1968,303602.0
06,Jönköpings län,1969,306998.0
06,Jönköpings län,1970,309279.0
06,Jönköpings län,1971,309454.0
06,Jönköpings län,1972,310638.0
06,Jönköpings län,1973,311339.0
06,Jönköpings län,1974,313048.0
06,Jönköpings län,1975,313758.0
06,Jönköpings län,1976,314493.0
06,Jönköpings län,1977,315853.0
06,Jönköpings län,1978,315865.0
06,Jönköpings län,1979,316631.0
06,Jönköpings län,1980,317759.0
06,Jönköpings län,1981,317513.0
06,Jönköpings län,1982,316731.0
06,Jönköpings län,1983,316502.0
06,Jönköpings län,1984,316490.0
06,Jönköpings län,1985,316525.0
06,Jönköpings län,1986,317212.0
06,Jönköpings län,1987,318404.0
06,Jönköpings län,1988,320239.0
06,Jönköpings län,1989,323065.0
06,Jönköpings län,1990,325163.0
06,Jönköpings län,1991,326653.0
06,Jönköpings län,1992,326852.0
06,Jönköpings län,1993,327920.0
06,Jönköpings län,1994,329406.0
06,Jönköpings län,1995,329595.0
06,Jönköpings län,1996,328726.0
06,Jönköpings län,1997,328068.0
06,Jönköpings län,1998,328059.0
06,Jönköpings län,1999,327266.0
06,Jönköpings län,2000,327829.0
06,Jönköpings län,2001,327824.0
06,Jönköpings län,2002,327971.0
06,Jönköpings län,2003,328659.0
06,Jönköpings län,2004,329297.0
06,Jönköpings län,2005,330179.0
06,Jönköpings län,2006,331539.0
06,Jönköpings län,2007,333610.0
06,Jönköpings län,2008,335246.0
06,Jönköpings län,2009,336044.0
06,Jönköpings län,2010,336866.0
06,Jönköpings län,2011,337896.0
06,Jönköpings län,2012,339116.0
06,Jönköpings län,2013,341235.0
06,Jönköpings län,2014,344262.0
06,Jönköpings län,2015,347837.0
07,Kronobergs län,1968,162422.0
07,Kronobergs län,1969,164953.0
07,Kronobergs län,1970,166734.0
07,Kronobergs län,1971,167331.0
07,Kronobergs län,1972,167429.0
07,Kronobergs län,1973,168199.0
07,Kronobergs län,1974,168826.0
07,Kronobergs län,1975,169438.0
07,Kronobergs län,1976,170319.0
07,Kronobergs län,1977,171073.0
07,Kronobergs län,1978,171434.0
07,Kronobergs län,1979,172401.0
07,Kronobergs län,1980,173691.0
07,Kronobergs län,1981,174169.0
07,Kronobergs län,1982,174021.0
07,Kronobergs län,1983,174319.0
07,Kronobergs län,1984,174265.0
07,Kronobergs län,1985,173972.0
07,Kronobergs län,1986,173853.0
07,Kronobergs län,1987,174116.0
07,Kronobergs län,1988,175427.0
07,Kronobergs län,1989,176589.0
07,Kronobergs län,1990,177882.0
07,Kronobergs län,1991,178612.0
07,Kronobergs län,1992,178961.0
07,Kronobergs län,1993,179649.0
07,Kronobergs län,1994,180747.0
07,Kronobergs län,1995,180377.0
07,Kronobergs län,1996,179655.0
07,Kronobergs län,1997,179021.0
07,Kronobergs län,1998,178078.0
07,Kronobergs län,1999,177149.0
07,Kronobergs län,2000,176639.0
07,Kronobergs län,2001,176582.0
07,Kronobergs län,2002,176978.0
07,Kronobergs län,2003,177448.0
07,Kronobergs län,2004,178285.0
07,Kronobergs län,2005,178443.0
07,Kronobergs län,2006,179635.0
07,Kronobergs län,2007,180787.0
07,Kronobergs län,2008,182224.0
07,Kronobergs län,2009,183162.0
07,Kronobergs län,2010,183940.0
07,Kronobergs län,2011,184654.0
07,Kronobergs län,2012,185887.0
07,Kronobergs län,2013,187156.0
07,Kronobergs län,2014,189128.0
07,Kronobergs län,2015,191369.0
08,Kalmar län,1968,239155.0
08,Kalmar län,1969,240298.0
08,Kalmar län,1970,241024.0
08,Kalmar län,1971,240651.0
08,Kalmar län,1972,240180.0
08,Kalmar län,1973,240087.0
08,Kalmar län,1974,240395.0
08,Kalmar län,1975,240724.0
08,Kalmar län,1976,240969.0
08,Kalmar län,1977,241537.0
08,Kalmar län,1978,241340.0
08,Kalmar län,1979,241448.0
08,Kalmar län,1980,241581.0
08,Kalmar län,1981,241098.0
08,Kalmar län,1982,240823.0
08,Kalmar län,1983,240134.0
08,Kalmar län,1984,239380.0
08,Kalmar län,1985,238176.0
08,Kalmar län,1986,237417.0
08,Kalmar län,1987,237356.0
08,Kalmar län,1988,237781.0
08,Kalmar län,1989,239564.0
08,Kalmar län,1990,241102.0
08,Kalmar län,1991,241883.0
08,Kalmar län,1992,241912.0
08,Kalmar län,1993,242528.0
08,Kalmar län,1994,244057.0
08,Kalmar län,1995,243372.0
08,Kalmar län,1996,241896.0
08,Kalmar län,1997,240160.0
08,Kalmar län,1998,238104.0
08,Kalmar län,1999,236501.0
08,Kalmar län,2000,235391.0
08,Kalmar län,2001,234697.0
08,Kalmar län,2002,234627.0
08,Kalmar län,2003,234886.0
08,Kalmar län,2004,234496.0
08,Kalmar län,2005,233944.0
08,Kalmar län,2006,233776.0
08,Kalmar län,2007,233834.0
08,Kalmar län,2008,233397.0
08,Kalmar län,2009,233639.0
08,Kalmar län,2010,233536.0
08,Kalmar län,2011,233090.0
08,Kalmar län,2012,233548.0
08,Kalmar län,2013,233874.0
08,Kalmar län,2014,235598.0
08,Kalmar län,2015,237679.0
09,Gotlands län,1968,53876.0
09,Gotlands län,1969,53977.0
09,Gotlands län,1970,53722.0
09,Gotlands län,1971,53720.0
09,Gotlands län,1972,53805.0
09,Gotlands län,1973,53950.0
09,Gotlands län,1974,54174.0
09,Gotlands län,1975,54400.0
09,Gotlands län,1976,54621.0
09,Gotlands län,1977,54791.0
09,Gotlands län,1978,54935.0
09,Gotlands län,1979,55261.0
09,Gotlands län,1980,55346.0
